### Vital Signs Units of Measurement
# OpenOffice 1.1.3 (Writer and Calc) from the document IEEEandUCUM.1c.doc 2006-11-014T15,
# "Excerpted from ‘11073-10101-D05e.doc’, dated 2002-12-16 (from Paul Schluter Nov. 3, 2006)" 
# Copyright (C) IEEE and ISO. 
# According to http://www.iso.org/iso/copyright.htm a written permission is required before the table can be published. 

# $Id$
# This file is part of the biosig project http://biosig.sf.net/
#
#
"Dimension"	"Unit of Measurement"	"Symbol  (informative)"	"UCUM"	"Reference ID"	"Code  (base code)"
"Unspecified"					
	"<Unspecified>"	"?"	"{?} {unknown}"		0
"Dimension- less"					
"1 10*N 10^N {unitless}"	"NOM_DIM_DIMLESS"	512			
	"Decibel"	"DB"	"dB  "	"NOM_DIM_DECIBEL"	6448
	"10-2 (percent)"	"%"	"%"	"NOM_DIM_PERCENT"	544
	"10-3 (part(s) per thousand )"	"Ppht"	"[ppth]"	"NOM_DIM_PARTS_PER_THOUSAND"	576
	"10-6 (part(s) per million )"	"Ppm"	"[ppm]"	"NOM_DIM_PARTS_PER_MILLION"	608
	"10-9 (part(s) per milliard)"	"Ppmd"	"10*-9 10^-9"	"NOM_DIM_PPMD"	640
	"10-12 (part(s) per billion )"	"Ppb"	"10*-12 10^-12"	"NOM_DIM_PARTS_PER_BILLION"	672
	"10-18 (part(s) per trillion )"	"Ppt"	"10*-15 10^-15"	"NOM_DIM_PARTS_PER_TRILLION"	704
"- angles"	"angle degree"	"Degree"	"deg"	"NOM_DIM_ANG_DEG"	736
	"angle radian"	"Rad"	"rad"	"NOM_DIM_ANG_RAD"	768
"- mass fraction"	"<magnitude> gram(s) per gram"	"g g-1"	"g/g"	"NOM_DIM_X_G_PER_G"	800
	"<magnitude> gram(s) per kilogram"	"g kg-1"	"g/kg"	"NOM_DIM_G_PER_KG"	832
	"<magnitude> gram(s) per milligram"	"g mg-1"	"g/mg"	"NOM_DIM_X_G_PER_MG"	6464
"- relative quantity"	"<magnitude> mole(s) per mole"	"mol mol-1"	"mol/mol"	"NOM_DIM_X_MOLE_PER_MOLE"	864
"- volume fraction"	"<magnitude> litre(s) per litre"	"l l-1"	"L/L"	"NOM_DIM_X_L_PER_L"	896
	"cubic <magnitude> metre(s) per cubic metre"	"m m-3 "	"???"	"NOM_DIM_CUBIC_X_M_PER_M_CUBE"	928
	"cubic <magnitude> metre(s) per cubic centimetre"	"m cm-3"	"???"	"NOM_DIM_CUBIC_X_M_PER_CM_CUBE"	960
	"volume percent"	"vol %"	"%{vol}"	"NOM_DIM_VOL_PERCENT"	6240
"- special vital signs counts"	"pH"	"PH"	"[pH]"	"NOM_DIM_PH"	992
	"drop"	"Drop"	"[drp]"	"NOM_DIM_DROP"	1024
	"red blood cell(s)"	"Rbc"	"{rbc}"	"NOM_DIM_RBC"	1056
	"beat"	"Beat"	"{beat}"	"NOM_DIM_BEAT"	1088
	"breath"	"Breath"	"{breath}"	"NOM_DIM_BREATH"	1120
	"cell"	"Cell"	"{cell}"	"NOM_DIM_CELL"	1152
	"cough"	"Cough"	"{cough}"	"NOM_DIM_COUGH"	1184
	"sigh"	"Sigh"	"{sigh}"	"NOM_DIM_SIGH"	1216
	"percent of packed cell volume"	"%PCV"	"%{pcv}"	"NOM_DIM_PCT_PCV"	1248
"L (length)"					
	"<magnitude> metre(s)"	"m [km, mm,etc.]"	"m"	"NOM_DIM_X_M"	1280
	"<magnitude> yard"	"Yd"	"[yd_i]"	"NOM_DIM_X_YARD"	1312
	"<magnitude> foot"	"Ft"	"[ft_i]"	"NOM_DIM_X_FOOT"	1344
	"<magnitude> inch"	"In"	"[in_i]"	"NOM_DIM_X_INCH"	1376
"L (areic volume)"					
	"<magnitude> litre(s) per square metre"	"lm-2"	"L/m2"	"NOM_DIM_X_L_PER_M_SQ"	1408
"L-1 "					
	"per <magnitude> metre"	"m-1 [cm-1 , mm-1 ]"	"/m"	"NOM_DIM_PER_X_M"	1440
"L-1 T-1"					
	"<magnitude> metre per minute"	"[cm , mm ]min-1 "	"m/min"	"NOM_DIM_X_M_PER_MIN"	6560
"L2 (area)"					
	"square <magnitude> metre(s)"	"m2"	"m2"	"NOM_DIM_SQ_X_M"	1472
	"square <magnitude> inch"	"in2"	"[in_i]2"	"NOM_DIM_SQ_X_INCH"	1504
"L-2"					
	"per square <magnitude> metre"	"m-2"	"/m2"	"NOM_DIM_PER_SQ_X_M"	1536
"L3 (volume)"					
	"cubic <magnitude> metre(s)"	"m3 [cm3 , mm3 ]"	"m3"	"NOM_DIM_CUBIC_X_M"	1568
	"<magnitude> litre(s)"	"l [ml]"	"L"	"NOM_DIM_X_L"	1600
	"<magnitude> litre(s) per breath"	"l breath-1"	"L/{breath}"	"NOM_DIM_X_L_PER_BREATH"	1632
	"<magnitude> litre(s) per beat"	"l beat-1"	"L/{beat}"	"NOM_DIM_X_L_PER_BEAT"	6112
"L-3 "					
	"per cubic <magnitude> metre"	"m-3 [cm-3 , mm-3 ]"	"/m3"	"NOM_DIM_PER_CUBIC_X_M"	1664
	"per <magnitude> litre"	"l-1 [ml-1]"	"/L"	"NOM_DIM_PER_X_L"	1696
"M (mass)"					
	"<magnitude> gram"	"g [kg, mg]"	"g"	"NOM_DIM_X_G"	1728
	"<magnitude> pound"	"lb"	"[lb_av]"	"NOM_DIM_X_LB"	1760
	"<magnitude> ounce"	"oz"	"[oz_av]"	"NOM_DIM_X_OZ"	1792
"M-1"					
	"per  <magnitude> gram"	"g-1 [kg-1 , mg-1 ]"	"/g"	"NOM_DIM_PER_X_G"	1824
"ML"					
	"<magnitude> gram metre"	"g m [kg m]"	"g.m"	"NOM_DIM_X_G_M"	1856
"ML-1"					
	"<magnitude> gram(s) meter per square metre"	"g m m-2  [kg m m-2]"	"g.m/m2"	"NOM_DIM_X_G_M_PER_M_SQ"	1888
"ML2 (moment of inertia)"					
	"<magnitude> gram metre squared"	"kg m2"	"kg.m2"	"NOM_DIM_X_G_M_SQ"	1920
"ML-2"					
	"kilogram(s) per square metre"	"kg m-2"	"kg/m2"	"NOM_DIM_KG_PER_M_SQ"	1952
"ML-3 (concentration of mass)"					
	"<magnitude> gram(s) per cubic metre"	"g m-3  [kg m-3]"	"g/m3"	"NOM_DIM_X_G_PER_M_CUBE"	1984
	"<magnitude> gram(s) per cubic centimetre"	"g cm-3"	"g/cm3"	"NOM_DIM_X_G_PER_CM_CUBE"	2016
	"<magnitude> gram(s) per litre"	"g l-1"	"g/L"	"NOM_DIM_X_G_PER_L"	2048
	"<magnitude> gram(s) per centilitre"	"g cl-3"	"g/cL"	"NOM_DIM_X_G_PER_CL"	2080
	"<magnitude> gram(s) per decilitre"	"g dl-3"	"g/dL"	"NOM_DIM_X_G_PER_DL"	2112
	"<magnitude> gram(s) per millilitre"	"g ml-3"	"g/mL"	"NOM_DIM_X_G_PER_ML"	2144
"T (time)"					
	"<magnitude> second"	"s [ms, us, ns]"	"s"	"NOM_DIM_SEC"	2176
	"minute"	"min"	"min"	"NOM_DIM_MIN"	2208
	"hour"	"h"	"h"	"NOM_DIM_HR"	2240
	"day"	"d"	"d"	"NOM_DIM_DAY"	2272
	"weeks"	"weeks"	"wk"	"NOM_DIM_WEEKS"	2304
	"months"	"mth"	"mo"	"NOM_DIM_MON"	2336
	"year"	"y"	"a"	"NOM_DIM_YR"	2368
	"time of day - hh:mm:ss"	"TOD"		"NOM_DIM_TOD"	2400
	"date - yyyy-mm-dd"	"DATE"		"NOM_DIM_DATE"	2432
"T-1 (rate, frequency)"					
	"per <magnitude> second"	"s-1"	"/s"	"NOM_DIM_PER_X_SEC"	2464
	"hertz"	"Hz"	"Hz"	"NOM_DIM_HZ"	2496
	"per minute"	"min-1"	"/min"	"NOM_DIM_PER_MIN"	2528
	"per hour"	"h-1"	"/h"	"NOM_DIM_PER_HR"	2560
	"per day"	"d-1"	"/d"	"NOM_DIM_PER_DAY"	2592
	"per week"	"week-1"	"/wk"	"NOM_DIM_PER_WK"	2624
	"per month"	"mth-1"	"/mo"	"NOM_DIM_PER_MO"	2656
	"per year"	"y-1"	"/a"	"NOM_DIM_PER_YR"	2688
"- special vital signs rates"	"beat per minute"	"bpm"	"{beat}/min"	"NOM_DIM_BEAT_PER_MIN"	2720
	"beat per minute per <magnitude> liter"	"bpm l-1"	"{beat}/min/L"	"NOM_DIM_BEAT_PER_MIN_PER_X_L"	6496
	"puls per minute"	"puls min-1"	"{puls}/min"	"NOM_DIM_PULS_PER_MIN"	2752
	"respirations per minute"	"resp min-1"	"{resp}/min"	"NOM_DIM_RESP_PER_MIN"	2784
"LT-1  (velocity)"					
	"<magnitude> metre(s) per second"	"m s-1"	"m/s"	"NOM_DIM_X_M_PER_SEC"	2816
"LT-1  (areic volume rate)"					
	"<magnitude> litre(s) per minute per square meter"	"l min-1 m-2"	"L/min/m2"	"NOM_DIM_X_L_PER_MIN_PER_M_SQ"	2848
	"square <magnitude>  metre(s) per second"	"m2 s-1 [cm2 s-1]"	"m2/s"	"NOM_DIM_SQ_X_M_PER_SEC"	2880
"L3T-1  (volume flow rate)"					
	"cubic <magnitude> metre(s) per second"	"m3 s-1"	"m3/s"	"NOM_DIM_CUBIC_X_M_PER_SEC"	2912
	"cubic <magnitude> metre(s) per minute"	"m3 min-1"	"m3/min"	"NOM_DIM_CUBIC_X_M_PER_MIN"	2944
	"cubic <magnitude> metre(s) per hour"	"m3 h-1"	"m3/h"	"NOM_DIM_CUBIC_X_M_PER_HR"	2976
	"cubic <magnitude> metre(s) per day"	"m3 d-1"	"m3/d"	"NOM_DIM_CUBIC_X_M_PER_DAY"	3008
	"<magnitude> litre(s) per second"	"l s-1"	"L/s"	"NOM_DIM_X_L_PER_SEC"	3040
	"<magnitude> litre(s) per minute"	"l min-1"	"L/min"	"NOM_DIM_X_L_PER_MIN"	3072
	"<magnitude> litre(s) per hour"	"l h-1"	"L/h"	"NOM_DIM_X_L_PER_HR"	3104
	"<magnitude> litre(s) per day"	"l d-1"	"L/d"	"NOM_DIM_X_L_PER_DAY"	3136
"L3M-1 (volume content)"					
	"<magnitude> litre(s) per kilogram"	"l kg-1"	"L/kg"	"NOM_DIM_X_L_PER_KG"	3168
	"cubic <magnitude> metre(s) per kilogram"	"m3 d-1"	"m3/kg"	"NOM_DIM_CUBIC_X_L_PER_KG"	3200
"L2M-1T (permeability)"					
	"<magnitude> meter per pascal second"	"m Pa-1s-1"	"m/Pa/s"	"NOM_DIM_X_M_PER_PASCAL_SEC"	3232
	"<magnitude> litre per min. per millimetre of mercury"	"l min-1 mmHG-1"	"L/min/mm[Hg]"	"NOM_DIM_X_L_PER_MIN_PER_ML_HG"	3264
