### Table and code of electrode positions
# prEN ISO 11073-10101 (Nov 2003)
# Health Informatics - Point-of-care medical device communications - Part 10101:Nomenclature
# (ISO/DIS 11073-10101:2003)
#
# CEN/TC251/PT40 2001	
# File Exchange Format for Vital Signs - Annex A 
#
# $Id$
# Copyright (C) 2006,2007 Alois Schloegl <a.schloegl@ieee.org>
# This file is part of the biosig project http://biosig.sf.net/
#
#Code	Label	Phi	Theta
 996	Nz	  90.0	 112.5
1000	Fpz	  90.0	  90.0
1004	AFz	  90.0	  67.5
1008	Fz	  90.0	  45.0
1012	FCz	  90.0	  22.5
1016	Cz	   0.0	   0.0
1020	CPz	 270.0	  22.5
1024	Pz	 270.0	  45.0
1028	POz	 270.0	  67.5
1032	Oz	 270.0	  90.0
1036	Iz	 270.0	 112.5
1041	Fp1	 108.0	  90.0
1046	Fp2	  72.0	  90.0
1049	F1	 112.0	  52.9
1054	F2	  68.0	  52.9
1057	F3	 129.1	  64.0
1062	F4	  50.9	  64.0
1065	F5	 136.9	  76.9
1070	F6	  43.1	  76.9
1073	F7	 144.0	  90.0
1078	F8	  36.0	  90.0
1081	F9	 149.4	 103.7
1086	F10	  30.6	 103.7
1089	FC1	 132.7	  33.4
1094	FC2	  47.3	  33.4
1097	FC3	 151.3	  51.7
1102	FC4	  28.7	  51.7
1105	FC5	 157.9	  71.0
1110	FC6	  22.1	  71.0
1113	FT7	 162.0	  90.0
1118	FT8	  18.0	  90.0
1121	FT9	 164.3	 108.7
1126	FT10	  15.7	 108.7
1129	C1	 180.0	  22.5
1134	C2	   0.0	  22.5
1137	C3	 180.0	  45.0
1142	C4	   0.0	  45.0
1145	C5	 180.0	  62.5
1150	C6	   0.0	  62.5
1153	CP1	 227.3	  33.4
1158	CP2	 312.7	  33.4
1161	CP3	 208.7	  51.7
1166	CP4	 331.3	  51.7
1169	CP5	 202.1	  71.0
1174	CP6	 337.9	  71.0
1177	P1	 248.0	  52.9
1182	P2	 292.0	  52.9
1185	P3	 230.9	  64.0
1190	P4	 309.1	  64.0
1193	P5	 223.1	  76.9
1198	P6	 316.9	  76.9
1201	P9	 210.6	 103.7
1206	P10	 329.4	 103.7
1209	O1	 252.0	  90.0
1214	O2	 288.0	  90.0
1217	AF3	 118.0	  76.8
1222	AF4	  62.0	  76.8
1225	AF7	 126.0	  90.0
1230	AF8	  54.0	  90.0
1233	PO3	 242.0	  76.8
1238	PO4	 298.0	  76.8
1241	PO7	 234.0	  90.0
1246	PO8	 306.0	  90.0
#### T7,T8,P7,P8 of the 10-10 system correspond to T3,T4,T5,T6 of the 10-20 System, respectively. 
#### for details see http://butler.cc.tut.fi/%7Emalmivuo/bem/bembook/13/13.htm#03
1249	T3	 180.0	  90.0
1249	T7	 180.0	  90.0
1254	T4	   0.0	  90.0
1254	T8	   0.0	  90.0
1257	T5	 216.0	  90.0
1257	P7	 216.0	  90.0
1262	T6	 324.0	  90.0
1262	P8	 324.0	  90.0
1265	T9	 180.0	 112.5
1270	T10	   0.0	 112.5
1273	TP7	 198.0	  90.0
1278	TP8	 342.0	  90.0
1281	TP9	 195.7	 108.7
1286	TP10	 344.3	 108.7
1289	A1	 180.0	 120.0
1294	A2	   0.0	 120.0
1298	T1	 162.0	 106.0
1302	T2	  18.0	 106.0
1305	Pg1	-180.0	-180.0
1310	Pg2	-180.0	-180.0
1313	Sp1	-180.0	-180.0
1318	Sp2	-180.0	-180.0
1320	E0	-180.0	-180.0
1325	El1	-180.0	-180.0
1329	El2	-180.0	-180.0
1333	El3	-180.0	-180.0
1337	El4	-180.0	-180.0
1341	El5	 141.0	 105.0
1345	El6	 141.0	 120.0
1349	El7	-180.0	-180.0
1352	Er1	-180.0	-180.0
1358	Er2	-180.0	-180.0
1362	Er3	-180.0	-180.0
1366	Er4	-180.0	-180.0
1370	Er5	  39.0	 105.0
1374	Er6	  39.0	 120.0
1378	Er7	-180.0	-180.0
1381	ElL	-180.0	-180.0
1386	ErL	-180.0	-180.0
1389	Ela	-180.0	-180.0
1393	Elb	-180.0	-180.0
1398	Era	-180.0	-180.0
1402	Erb	-180.0	-180.0
